Name,Required,Type,Restrictions,Valid Values
"Rim Width (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"FEDAS ID","Optional","String","length:6",""
"Material","Optional","String","minLength:1;maxLength:50",""
"Package Dimensions - Height (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Mfg Warranty Description Parts","Optional","String","minLength:1;maxLength:1000",""
"Package Dimensions - Weight (Unit)","Optional","Enum","","GR;hundredths_pounds;KG;LB;MG;OZ"
"Merchant Catalog Number","Optional","String","maxLength:40;minLength:1",""
"Package Dimensions - Width (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Description","Required","String","maxLength:2000",""
"Construction Type","Optional","String","minLength:1;maxLength:50",""
"Manufacturer Warranty Description","Optional","String","maxLength:1500",""
"Season","Optional","String","maxLength:100",""
"Rim Width (Value)","Optional","Decimal","fractionDigits:2;totalDigits:12",""
"Standard Price (Value)","Required","Decimal","fractionDigits:4;totalDigits:20",""
"Tire Type","Optional","String","maxLength:50;minLength:1",""
"Package Dimensions - Height (Value)","Optional","Decimal","fractionDigits:2;totalDigits:12",""
"Light Bulb Type","Optional","String","minLength:1;maxLength:50",""
"Target Audience","Optional","String","maxLength:50;minLength:1",""
"Item Dimensions - Height (Unit)","Desired","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Item Dimensions - Width (Value)","Desired","Decimal","totalDigits:12;fractionDigits:2",""
"Display Length (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Part Interchange Info","Optional","String","minLength:1;maxLength:50",""
"Manufacturer","Required","String","maxLength:100",""
"Legal Disclaimer","Optional","String","maxLength:2500",""
"Battery Type Lithium Ion","Optional","Integer","minInclusive:1",""
"Wheel Bore Diameter (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Mirror Lens Curvature","Optional","String","maxLength:50;minLength:1",""
"Title","Required","String","minLength:1;maxLength:500",""
"Pitch Circle Diameter (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Shipping Weight (Unit)","Optional","Enum","","GR;hundredths_pounds;KG;LB;MG;OZ"
"Item Dimensions - Width (Unit)","Desired","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Item Shape","Optional","String","maxLength:50",""
"Amperage (Value)","Optional","Decimal","fractionDigits:2;totalDigits:12",""
"Battery Type Lithium Metal","Optional","Integer","minInclusive:1",""
"Package Weight (Unit)","Optional","Enum","","GR;hundredths_pounds;KG;LB;MG;OZ"
"Mfg Warranty Description Type","Optional","String","maxLength:50;minLength:1",""
"Item Type","Optional","String","minLength:1;maxLength:500",""
"Color Map","Optional","String","maxLength:50;minLength:1",""
"Display Length (Value)","Optional","Decimal","fractionDigits:2;totalDigits:12",""
"Package Dimensions - Weight (Value)","Optional","Decimal","fractionDigits:2;totalDigits:12",""
"Diameter (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"OE Manufacturer","Optional","String","maxLength:50;minLength:1",""
"Tire Aspect Ratio","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Display Volume (Value)","Optional","Decimal","fractionDigits:2;totalDigits:12",""
"Warnings","Optional","String","maxLength:500;minLength:1",""
"Specification Met","Optional","String","minLength:1;maxLength:50",""
"MSRP (Value)","Desired","Decimal","fractionDigits:2;totalDigits:20",""
"Window Regulator Lift Type","Optional","String","maxLength:50;minLength:1",""
"Voltage","Optional","Integer","minInclusive:1",""
"Display Weight (Unit)","Optional","Enum","","GR;hundredths_pounds;KG;LB;MG;OZ"
"Item Dimensions - Weight (Value)","Desired","Decimal","fractionDigits:2;totalDigits:12",""
"Wheel Bore Diameter (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Model Year","Optional","Integer","totalDigits:4",""
"Max Order Quantity","Optional","Integer","minInclusive:1",""
"Item Package Quantity","Optional","Integer","minInclusive:1",""
"Sale Price (Value)","Optional","Decimal","totalDigits:20;fractionDigits:4",""
"Rim Diameter (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Recommended Browse Node","Optional","String","minInclusive:1",""
"Body Part Exterior Finish","Optional","String","maxLength:50;minLength:1",""
"Offset (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Mfg Warranty Description Labor","Optional","String","maxLength:1000;minLength:1",""
"Mirror Housing Included","Optional","String","maxLength:50;minLength:1",""
"Brand","Required","String","maxLength:100",""
"Volume (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"CPSIA Warning Description","Optional","String","minLength:1;maxLength:250",""
"Mirror Dimming Feature","Optional","String","minLength:1;maxLength:50",""
"Item Dimensions - Length (Unit)","Desired","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Power Source","Optional","String","minLength:1;maxLength:50",""
"Display Weight (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Battery Average Life","Optional","Decimal","totalDigits:12;minInclusive:0.00;fractionDigits:2",""
"Color","Required","String","minLength:1;maxLength:50",""
"Viscosity","Optional","String","minLength:1;maxLength:50",""
"Mirror Special Feature","Optional","String","minLength:1;maxLength:50",""
"Platinum Keywords","Optional","String","maxLength:50;minLength:1",""
"Fulfillment Latency","Optional","Integer","minInclusive:1",""
"Item Dimensions - Height (Value)","Desired","Decimal","totalDigits:12;fractionDigits:2",""
"Package Dimensions - Length (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Subject Content","Optional","String","minLength:1;maxLength:50",""
"Bullet Point","Desired","String","maxLength:500;minLength:1",""
"OEM Part Number","Optional","String","maxLength:40;minLength:1",""
"Size","Required","String","maxLength:50;minLength:1",""
"Mirror Turn Signal Indicator","Optional","String","minLength:1;maxLength:50",""
"Mirror Adjustment","Optional","String","maxLength:50;minLength:1",""
"Designer","Optional","String","minLength:1;maxLength:50",""
"Battery Average Life Standby","Optional","Decimal","totalDigits:12;fractionDigits:2;minInclusive:0.00",""
"Speed Rating","Optional","String","minLength:1;maxLength:50",""
"Number Of Items","Optional","Integer","minInclusive:1",""
"Item Dimensions - Weight (Unit)","Desired","Enum","","GR;hundredths_pounds;KG;LB;MG;OZ"
"Load Index","Optional","Integer","minInclusive:1",""
"Used For","Optional","String","maxLength:50;minLength:1",""
"Part Type Id","Optional","Integer","minInclusive:0",""
"Package Dimensions - Width (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Wattage","Optional","Integer","minInclusive:1",""
"Is Discontinued By Manufacturer","Optional","Boolean","","No;Yes"
"Autographed","Optional","Boolean","","No;Yes"
"Volume (Unit)","Optional","Enum","","centiliters;cubic-cm;cubic-ft;cubic-in;cubic-m;cubic-yd;cup;deciliters;fluid-oz;gallon;liter;liters;microliters;milliliter;milliliters;nanoliters;ounce;picoliters;pint;quart"
"Is Gift Wrap Available","Optional","Boolean","","No;Yes"
"Battery Type","Optional","Enum","","battery_type_12v;battery_type_2/3A;battery_type_4/3A;battery_type_4/5A;battery_type_9v;battery_type_a;battery_type_a76;battery_type_aa;battery_type_aaa;battery_type_aaaa;battery_type_c;battery_type_cr123a;battery_type_cr2;battery_type_cr5;battery_type_d;battery_type_lithium_ion;battery_type_lithium_metal;battery_type_L-SC;battery_type_p76;battery_type_product_specific;battery_type_SC;cr2032;lr41;lr44;nonstandard_battery;unknown"
"Discontinue Date","Optional","DateTime","",""
"Variation Theme","Optional","Enum","","Color;Size;Size-Color"
"Amperage (Unit)","Optional","Enum","","amps;kiloamps;microamps;milliamps;nanoamps;picoamps"
"Target Gender","Optional","Enum","","female;male;unisex"
"Serial Number Required","Optional","Boolean","","No;Yes"
"Memorabilia","Optional","Boolean","","No;Yes"
"Rebate Message","Optional","String","",""
"Release Date","Optional","DateTime","",""
"Rebate Start Date","Optional","DateTime","",""
"Launch Date","Optional","DateTime","",""
"Rebate Name","Optional","String","",""
"TSD Warning","Optional","Enum","","adult_supervision_required;fragrances_allergy_risk;no_protective_equipment;no_warning_applicable;only_domestic_use;protective_equipment_required;risk_of_entanglement;toy_inside;water_adult_supervision_required"
"Sale Start Date","Optional","DateTime","",""
"Rebate End Date","Optional","DateTime","",""
"CPSIA Warning","Optional","Enum","","choking_hazard_balloon;choking_hazard_contains_a_marble;choking_hazard_contains_small_ball;choking_hazard_is_a_marble;choking_hazard_is_a_small_ball;choking_hazard_small_parts;no_warning_applicable"
"Standard Product ID (Value)","Required","String","",""
"Product Tax Code","Optional","String","",""
"TSD Age Warning","Optional","Enum","","no_warning_applicable;not_suitable_under_10_years_supervision;not_suitable_under_11_years_supervision;not_suitable_under_12_years_supervision;not_suitable_under_13_years_supervision;not_suitable_under_14_years_supervision;not_suitable_under_3_years_supervision;not_suitable_under_36_months;not_suitable_under_4_years_supervision;not_suitable_under_5_years_supervision;not_suitable_under_6_years_supervision;not_suitable_under_7_years_supervision;not_suitable_under_8_years_supervision;not_suitable_under_9_years_supervision"
"Number Of Lithium Metal Cells","Optional","Integer","minInclusive:1",""
"Mirror Heated","Optional","Boolean","","No;Yes"
"Switch Fulfillment To","Optional","Enum","","AFN;MFN"
"Sale End Date","Optional","DateTime","",""
"Is Gift Message Available","Optional","Boolean","","No;Yes"
"Fulfillment Center ID","Optional","String","",""
"Standard Product ID (Type)","Required","Enum","","ASIN;EAN;GCID;GTIN;ISBN;PZN;UPC"
"Parentage","Optional","Enum","","child;parent"
"Lithium Battery Weight (Unit)","Optional","Enum","","GR;hundredths_pounds;KG;LB;MG;OZ"
"Mirror Folding","Optional","Boolean","","No;Yes"
"Restock Date","Optional","DateTime","",""
"Prop 65","Optional","Boolean","","No;Yes"
"Display Volume (Unit)","Optional","Enum","","centiliters;cubic-cm;cubic-ft;cubic-in;cubic-m;cubic-yd;cup;deciliters;fluid-oz;gallon;liter;liters;microliters;milliliter;milliliters;nanoliters;ounce;picoliters;pint;quart"
"Number Of Lithium Ion Cells","Optional","Integer","minInclusive:1",""
"TSD Language","Optional","Enum","","Bulgarian;Czech;Danish;Dutch;English;Estonian;Finnish;French;German;Greek;Hungarian;Italian;Latvian;Lithuanian;Polish;Portuguese;Romanian;Slovak;Slovene;Spanish;Swedish"
"Condition Note","Optional","String","",""
"Delivery Channel","Optional","Enum","","direct_ship;in_store"
"Lithium Battery Energy Content (Unit)","Optional","Enum","","btu;btus;cubic_feet;cubic_meters;joules;kilowatt_hours;kilowatts;milliamp_hours;milliampere_hour;milliampere_second;watt_hours"
"Registered Parameter","Optional","Enum","","NonConsumer;PreConfigured;PrivateLabel;Specialized"
"Lithium Battery Voltage","Optional","Decimal","",""
"Battery Cell Type","Optional","Enum","","alkaline;aluminum_oxygen;lead_acid;lead_acid_agm;lead_calcium;lithium;lithium_air;lithium_cobalt;lithium_ion;lithium_manganese_dioxide;lithium_metal;lithium_nickel_cobalt_aluminum;lithium_nickel_manganese_cobalt;lithium_phosphate;lithium_polymer;lithium_thionyl_chloride;lithium_titanate;manganese;NiCAD;nickel_iron;nickel_zinc;NiMh;polymer;silver_calcium;silver_oxide;silver_zinc;zinc;zinc_air"
"Lithium Battery Energy Content (Value)","Optional","Decimal","fractionDigits:2;totalDigits:12",""
"Number Of Batteries","Optional","Integer","",""
"Lithium Battery Weight (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Battery Weight (Unit)","Optional","Enum","","GR;hundredths_pounds;KG;LB;MG;OZ"
"Lithium Battery Packaging","Optional","Enum","","batteries_contained_in_equipment;batteries_only;batteries_packed_with_equipment"
"Are Batteries Included","Optional","Boolean","","No;Yes"
"Are Batteries Required","Optional","Boolean","","No;Yes"
"Rental Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Maximum Seller Allowed Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Tread Depth (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Rental Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Rental Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"UVP List Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;EGP;EUR;GBP;INR;JPY;MXN;PLN;SAR;SEK;SGD;TRY;USD"
"Minimum Seller Allowed Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Sale Price Points","Optional","Integer","",""
"Load Capacity (Unit)","Optional","Enum","","GR;hundredths_pounds;KG;LB;MG;OZ"
"Rental Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Rental Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Rental Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Standard Price Points","Optional","Integer","",""
"Rental Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Rental Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Maximum Circumference (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Wheel Backspacing (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Rental Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Rental Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Battery Cell Composition","Optional","Enum","","alkaline;aluminum_oxygen;lead_acid;lead_acid_agm;lead_calcium;lithium;lithium_air;lithium_cobalt;lithium_ion;lithium_manganese_dioxide;lithium_metal;lithium_nickel_cobalt_aluminum;lithium_nickel_manganese_cobalt;lithium_phosphate;lithium_polymer;lithium_thionyl_chloride;lithium_titanate;manganese;NiCAD;nickel_iron;nickel_zinc;NiMh;polymer;silver_calcium;silver_oxide;silver_zinc;zinc;zinc_air"
"Battery Weight (Value)","Optional","Decimal","fractionDigits:2;totalDigits:12",""
"Minimum Circumference (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Item Weight (Unit)","Optional","Enum","","GR;hundredths_pounds;KG;LB;MG;OZ"
"Legal Compliance Certification Date Of Issue","Optional","String","",""
"Beam Angle (Value)","Optional","Decimal","fractionDigits:2;totalDigits:12",""
"Pricing Strategy","Optional","Enum","","bulk_by_uom;catch_by_uom;produce_by_each;produce_by_uom"
"Access Location","Optional","String","minLength:1;maxLength:50",""
"Is Heat Sensitive","Optional","Boolean","","No;Yes"
"Quantity Lower Bound 4","Optional","Integer","totalDigits:12",""
"Rental Price (Value)","Optional","Decimal","totalDigits:20;fractionDigits:4",""
"Item Volume (Unit)","Optional","Enum","","centiliters;cubic-cm;cubic-ft;cubic-in;cubic-m;cubic-yd;cup;deciliters;fluid-oz;gallon;liter;liters;microliters;milliliter;milliliters;nanoliters;ounce;picoliters;pint;quart"
"Optional Payment Type Exclusion","Optional","Enum","","cash_on_delivery;cvs;exclude_none;exclude cod;exclude cod and cvs;exclude cvs"
"Occasion And Lifestyle","Optional","String","maxLength:500",""
"Rental 2 End Date","Optional","DateTime","",""
"Rental 0 Start Date","Optional","DateTime","",""
"Making Charges Standard Price","Optional","String","maxLength:50;minLength:1",""
"PEGI Rating","Optional","Enum","","ages_12_and_over;ages_16_and_over;ages_18_and_over;ages_3_and_over;ages_7_and_over;unknown"
"Rental 8 End Date","Optional","DateTime","",""
"Order Increment","Optional","Decimal","",""
"Quantity Price Type","Optional","Enum","","fixed;percent"
"Battery Form Factor","Optional","String","maxLength:50;minLength:1",""
"Pitch Circle Diameter (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Cap Type","Optional","String","maxLength:50",""
"Voltage (Value)","Optional","Decimal","fractionDigits:2;totalDigits:12;minInclusive:0.00",""
"Legal Compliance Certification Metadata","Optional","String","",""
"Size Map","Optional","Enum","","Large;Medium;Small;X-Large;X-Small;XX-Large;XX-Small;XXX-Large;XXX-Small;XXXX-Large;XXXX-Small;XXXXX-Large;XXXXX-Small"
"Rental Price (Value)","Optional","Decimal","totalDigits:20;fractionDigits:4",""
"Wheel Backspacing (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Fc Storage Method","Optional","String","minLength:1;maxLength:50",""
"Maximum Circumference (Value)","Optional","Decimal","fractionDigits:2;totalDigits:12",""
"Is Assembly Required","Optional","Boolean","","No;Yes"
"Business Price","Optional","Decimal","fractionDigits:4;totalDigits:20",""
"Pitch Circle Diameter (Value)","Optional","Decimal","fractionDigits:2;totalDigits:12",""
"Operating Life (Unit)","Optional","Enum","","days;hours;hr;microseconds;milliseconds;min;minutes;nanoseconds;picoseconds;sec;seconds"
"Legal Compliance Certification Status","Optional","Enum","","compliant;exempt;noncompliant"
"Value Without Tax","Optional","Decimal","",""
"UVP List Price (Value)","Optional","Decimal","fractionDigits:2;totalDigits:20",""
"Value Without Tax","Optional","Decimal","",""
"External Rolling Noise","Optional","Integer","minInclusive:1",""
"Item Weight (Value)","Optional","Decimal","fractionDigits:2;totalDigits:12",""
"Ignition System Type","Optional","String","maxLength:50;minLength:1",""
"Is Expiration Dated Product","Optional","Boolean","","No;Yes"
"External Product Information","Optional","String","minLength:1;maxLength:50",""
"Volume Capacity Name","Optional","String","minLength:1;maxLength:50",""
"Battery Description","Optional","String","maxLength:50;minLength:1",""
"Water Resistance Level","Optional","Enum","","not_water_resistant;water_resistant;waterproof"
"Legal Compliance Certification Expiration Date","Optional","String","",""
"Is Sourcing On Demand","Optional","Enum","","no;yes"
"Rental 1 Start Date","Optional","DateTime","",""
"External Rolling Noise","Optional","Integer","minInclusive:1",""
