Name,Required,Type,Restrictions,Valid Values
"Shipping Weight (Unit)","Optional","Enum","","GR;hundredths_pounds;KG;LB;MG;OZ"
"Item Dimensions - Width (Unit)","Desired","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Item Type","Optional","String","minLength:1;maxLength:500",""
"Package Dimensions - Weight (Value)","Optional","Decimal","fractionDigits:2;totalDigits:12",""
"Clothing Type","Required","Enum","","Accessory;Bag;Boot;Eyewear;Handbag;Sandal;ShoeAccessory;Shoes;TechnicalSportShoe"
"Fulfillment Latency","Optional","Integer","minInclusive:1",""
"Item Dimensions - Height (Value)","Desired","Decimal","totalDigits:12;fractionDigits:2",""
"Item Dimensions - Weight (Value)","Desired","Decimal","fractionDigits:2;totalDigits:12",""
"Item Package Quantity","Optional","Integer","minInclusive:1",""
"Max Order Quantity","Optional","Integer","minInclusive:1",""
"Brand","Required","String","maxLength:100",""
"CPSIA Warning Description","Optional","String","minLength:1;maxLength:250",""
"Used For","Optional","String","maxLength:50;minLength:1",""
"Package Dimensions - Width (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Recommended Browse Node","Optional","String","minInclusive:1",""
"Sale Price (Value)","Optional","Decimal","totalDigits:20;fractionDigits:4",""
"Item Dimensions - Length (Unit)","Desired","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Platinum Keywords","Optional","String","maxLength:50;minLength:1",""
"Package Dimensions - Length (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Subject Content","Optional","String","minLength:1;maxLength:50",""
"Bullet Point","Desired","String","maxLength:500;minLength:1",""
"Designer","Optional","String","minLength:1;maxLength:50",""
"Item Dimensions - Weight (Unit)","Desired","Enum","","GR;hundredths_pounds;KG;LB;MG;OZ"
"Autographed","Optional","Boolean","","No;Yes"
"Is Gift Wrap Available","Optional","Boolean","","No;Yes"
"Is Discontinued By Manufacturer","Optional","Boolean","","No;Yes"
"Battery Type","Optional","Enum","","battery_type_12v;battery_type_2/3A;battery_type_4/3A;battery_type_4/5A;battery_type_9v;battery_type_a;battery_type_a76;battery_type_aa;battery_type_aaa;battery_type_aaaa;battery_type_c;battery_type_cr123a;battery_type_cr2;battery_type_cr5;battery_type_d;battery_type_lithium_ion;battery_type_lithium_metal;battery_type_L-SC;battery_type_p76;battery_type_product_specific;battery_type_SC;cr2032;lr41;lr44;nonstandard_battery;unknown"
"Discontinue Date","Optional","DateTime","",""
"TSD Warning","Optional","Enum","","adult_supervision_required;fragrances_allergy_risk;no_protective_equipment;no_warning_applicable;only_domestic_use;protective_equipment_required;risk_of_entanglement;toy_inside;water_adult_supervision_required"
"Serial Number Required","Optional","Boolean","","No;Yes"
"Rebate Start Date","Optional","DateTime","",""
"Rebate Message","Optional","String","",""
"Memorabilia","Optional","Boolean","","No;Yes"
"Launch Date","Optional","DateTime","",""
"Rebate Name","Optional","String","",""
"Release Date","Optional","DateTime","",""
"Sale Start Date","Optional","DateTime","",""
"Standard Product ID (Value)","Required","String","",""
"CPSIA Warning","Optional","Enum","","choking_hazard_balloon;choking_hazard_contains_a_marble;choking_hazard_contains_small_ball;choking_hazard_is_a_marble;choking_hazard_is_a_small_ball;choking_hazard_small_parts;no_warning_applicable"
"Rebate End Date","Optional","DateTime","",""
"Product Tax Code","Optional","String","",""
"TSD Age Warning","Optional","Enum","","no_warning_applicable;not_suitable_under_10_years_supervision;not_suitable_under_11_years_supervision;not_suitable_under_12_years_supervision;not_suitable_under_13_years_supervision;not_suitable_under_14_years_supervision;not_suitable_under_3_years_supervision;not_suitable_under_36_months;not_suitable_under_4_years_supervision;not_suitable_under_5_years_supervision;not_suitable_under_6_years_supervision;not_suitable_under_7_years_supervision;not_suitable_under_8_years_supervision;not_suitable_under_9_years_supervision"
"Number Of Lithium Metal Cells","Optional","Integer","minInclusive:1",""
"Switch Fulfillment To","Optional","Enum","","AFN;MFN"
"Restock Date","Optional","DateTime","",""
"Variation Theme","Optional","Enum","","Color;Color-ItemPackageQuantity;ColorName-LensColor;ColorName-LensWidth;ColorName-MagnificationStrength;ColorSize;ItemPackageQuantity;ItemPackageQuantity-Material;ItemPackageQuantity-Size;LensColor;LensColorMaterial;LensColorShape;Material;PatternName;Size;SizeColor;Size-Material;Size-PatternName;SizeStyle;StyleName"
"Sale End Date","Optional","DateTime","",""
"Is Gift Message Available","Optional","Boolean","","No;Yes"
"Condition Note","Optional","String","",""
"TSD Language","Optional","Enum","","Bulgarian;Czech;Danish;Dutch;English;Estonian;Finnish;French;German;Greek;Hungarian;Italian;Latvian;Lithuanian;Polish;Portuguese;Romanian;Slovak;Slovene;Spanish;Swedish"
"Fulfillment Center ID","Optional","String","",""
"Lithium Battery Weight (Unit)","Optional","Enum","","GR;hundredths_pounds;KG;LB;MG;OZ"
"Standard Product ID (Type)","Required","Enum","","ASIN;EAN;GCID;GTIN;ISBN;PZN;UPC"
"Prop 65","Optional","Boolean","","No;Yes"
"Number Of Lithium Ion Cells","Optional","Integer","minInclusive:1",""
"Lithium Battery Energy Content (Unit)","Optional","Enum","","btu;btus;cubic_feet;cubic_meters;joules;kilowatt_hours;kilowatts;milliamp_hours;milliampere_hour;milliampere_second;watt_hours"
"Registered Parameter","Optional","Enum","","NonConsumer;PreConfigured;PrivateLabel;Specialized"
"Magnification Strength (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Delivery Channel","Optional","Enum","","direct_ship;in_store"
"Item Display Weight (Unit)","Optional","Enum","","GR;hundredths_pounds;KG;LB;MG;OZ"
"Lens Height (Value)","Desired","Decimal","totalDigits:12;fractionDigits:2",""
"Heel Type","Desired","String","maxLength:50",""
"Model Number","Optional","String","maxLength:50;minLength:1",""
"Item Shape","Desired","String","maxLength:500",""
"Shaft Diameter Derived","Optional","Integer","totalDigits:12",""
"Bridge Width (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Sole Material","Desired","String","maxLength:500",""
"Shaft Width (Value)","Optional","String","minLength:1;maxLength:50",""
"Frame Material Type","Optional","String","maxLength:500",""
"Outer Material Type","Optional","String","maxLength:100",""
"Style Name","Desired","String","maxLength:2000",""
"Battery Cell Type","Optional","Enum","","alkaline;aluminum_oxygen;lead_acid;lead_acid_agm;lead_calcium;lithium;lithium_air;lithium_cobalt;lithium_ion;lithium_manganese_dioxide;lithium_metal;lithium_nickel_cobalt_aluminum;lithium_nickel_manganese_cobalt;lithium_phosphate;lithium_polymer;lithium_thionyl_chloride;lithium_titanate;manganese;NiCAD;nickel_iron;nickel_zinc;NiMh;polymer;silver_calcium;silver_oxide;silver_zinc;zinc;zinc_air"
"Item Display Width (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Maximum Circumference (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Belt Style","Optional","String","maxLength:50",""
"Shoulder Strap Drop (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Pattern Style","Desired","String","maxLength:50",""
"Wheel Type","Optional","String","maxLength:50",""
"Item Display Height (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Lithium Battery Energy Content (Value)","Optional","Decimal","fractionDigits:2;totalDigits:12",""
"Country Produced In","Optional","String","maxLength:50",""
"Pattern Name","Optional","String","maxLength:2000",""
"Inner Material","Optional","String","maxLength:500",""
"Pronation Correction","Optional","String","maxLength:50",""
"Cleat Material Type","Desired","String","maxLength:500",""
"Lens Material Type","Optional","String","maxLength:500",""
"Country As Labeled","Optional","String","pattern:[a-zA-Z][a-zA-Z]|unknown",""
"Pocket Description","Optional","String","maxLength:50",""
"Care Instructions","Optional","String","maxLength:50",""
"Special Size Type","Optional","String","maxLength:50",""
"Season","Optional","String","maxLength:100",""
"Shell Type","Optional","String","maxLength:50",""
"Country Of Origin","Optional","String","pattern:[a-zA-Z][a-zA-Z]|unknown",""
"Item Display Volume (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Fabric Type","Optional","String","maxLength:50",""
"Size","Desired","String","minLength:1;maxLength:50",""
"Shaft Width (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Platform Height","Desired","Decimal","totalDigits:12;fractionDigits:2",""
"Safety Warning","Optional","String","maxLength:1000;minLength:1",""
"Heel Height (Value)","Desired","Decimal","fractionDigits:2;totalDigits:12",""
"Lithium Battery Weight (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Leather Type","Optional","String","maxLength:50",""
"Insert Material","Optional","String","maxLength:50",""
"Team Name","Optional","String","minLength:1;maxLength:50",""
"Number Of Batteries","Optional","Integer","",""
"Surface Recommendation","Optional","String","maxLength:50",""
"Color","Desired","String","minLength:1;maxLength:50",""
"Cleat Description","Desired","String","maxLength:500",""
"Shaft Diameter (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Boot Opening Circumference (Value)","Desired","Decimal","fractionDigits:2;totalDigits:12",""
"Shaft Height (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Volume Capacity Name (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Mfr Warranty Description Parts","Optional","String","minLength:1;maxLength:50",""
"Are Batteries Included","Optional","Boolean","","No;Yes"
"Special Features","Optional","String","maxLength:500",""
"Collection Name","Optional","String","maxLength:50",""
"Color Map","Desired","String","maxLength:50",""
"Bridge Width (Value)","Desired","Decimal","fractionDigits:2;totalDigits:12",""
"Specific Uses","Optional","String","maxLength:50;minLength:1",""
"Battery Form Factor","Optional","String","maxLength:50",""
"Material Type","Optional","String","maxLength:50",""
"Strap Type","Desired","String","maxLength:500",""
"Material Composition","Optional","String","maxLength:500",""
"Manufacturer Warranty Type","Optional","String","maxLength:50;minLength:1",""
"Item Display Width (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Arch Type","Desired","String","maxLength:500",""
"Shoe Closure Type","Optional","String","maxLength:50",""
"Mfr Warranty Description Labor","Optional","String","maxLength:50;minLength:1",""
"Battery Weight (Unit)","Optional","Enum","","GR;hundredths_pounds;KG;LB;MG;OZ"
"Shoe Height Map","Desired","String","maxLength:50",""
"External Testing Certification","Optional","String","maxLength:50",""
"Item Display Height (Value)","Optional","Decimal","fractionDigits:2;totalDigits:12",""
"Lithium Battery Packaging","Optional","Enum","","batteries_contained_in_equipment;batteries_only;batteries_packed_with_equipment"
"Lens Width (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Seller Warranty Description","Optional","String","minLength:1;maxLength:1000",""
"Waist Size (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Shaft Diameter (Value)","Optional","String","maxLength:50;minLength:1",""
"Battery Cell Composition","Optional","Enum","","alkaline;aluminum_oxygen;lead_acid;lead_acid_agm;lead_calcium;lithium;lithium_air;lithium_cobalt;lithium_ion;lithium_manganese_dioxide;lithium_metal;lithium_nickel_cobalt_aluminum;lithium_nickel_manganese_cobalt;lithium_phosphate;lithium_polymer;lithium_thionyl_chloride;lithium_titanate;manganese;NiCAD;nickel_iron;nickel_zinc;NiMh;polymer;silver_calcium;silver_oxide;silver_zinc;zinc;zinc_air"
"Material Opacity","Optional","String","maxLength:100",""
"Item Display Length (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Waist Style","Optional","String","maxLength:50",""
"Number Of Items","Optional","Integer","minInclusive:1",""
"Boot Opening Circumference (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Model Name","Optional","String","minLength:1;maxLength:50",""
"Toe Shape","Optional","String","maxLength:100",""
"Performance Rating","Optional","String","maxLength:100",""
"Lens Width (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Lens Color","Optional","String","maxLength:500",""
"Shoe Width","Optional","String","maxLength:50",""
"Shaft Height (Value)","Desired","String","maxLength:50;minLength:1",""
"Arm Length (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Battery Description","Optional","String","maxLength:50",""
"Heel Height (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Are Batteries Required","Optional","Boolean","","No;Yes"
"Insole Type","Optional","String","maxLength:50",""
"Size Map","Optional","String","minLength:1;maxLength:50",""
"Import Designation","Optional","String","maxLength:50",""
"Item Display Length (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Model Year","Desired","Integer","totalDigits:4",""
"Toe Style","Desired","String","maxLength:500",""
"Sport Type","Optional","String","maxLength:50",""
"Occasion And Lifestyle","Optional","String","maxLength:500",""
"Department","Required","String","maxLength:50;minLength:1",""
"Item Display Weight (Value)","Optional","Decimal","totalDigits:12;fractionDigits:2",""
"Lens Color Map","Optional","String","maxLength:500",""
"Lining Description","Desired","String","maxLength:500",""
"Fabric Wash","Optional","String","maxLength:50",""
"Battery Type","Optional","Enum","","battery_type_12v;battery_type_2/3A;battery_type_4/3A;battery_type_4/5A;battery_type_9v;battery_type_a;battery_type_a76;battery_type_aa;battery_type_aaa;battery_type_aaaa;battery_type_c;battery_type_cr123a;battery_type_cr2;battery_type_cr5;battery_type_d;battery_type_lithium_ion;battery_type_lithium_metal;battery_type_L-SC;battery_type_p76;battery_type_product_specific;battery_type_SC;cr2032;lr41;lr44;nonstandard_battery;unknown"
"Fur Description","Optional","String","maxLength:500",""
"Polarization Type","Optional","String","maxLength:500",""
"Maximum Circumference (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Lens Height (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Style Keywords","Optional","String","maxLength:500;minLength:1",""
"Character","Optional","String","maxLength:100",""
"Number Of Wheels","Optional","Integer","totalDigits:12",""
"Arm Length (Value)","Desired","Decimal","fractionDigits:2;totalDigits:12",""
"Shoulder Strap Drop (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Base Length (Unit)","Optional","Enum","","angstrom;centimeters;CM;decimeters;feet;FT;hundredths_inches;IN;inches;M;meters;micrometers;miles;millimeters;mils;MM;nanometers;picometers;yards"
"Rental Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"UVP List Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;EGP;EUR;GBP;INR;JPY;MXN;PLN;SAR;SEK;SGD;TRY;USD"
"Minimum Seller Allowed Price (Currency)","Optional","Enum","","AED;AUD;BRL;CAD;CNY;DEFAULT;EGP;EUR;GBP;INR;JPY;MXN;SAR;SGD;TRY;USD"
"Lithium Battery Weight","Optional","Decimal","",""
"Shoe Size To Range","Optional","Enum","","fraction_14_and_1_ninth;fraction_14_and_1_third;fraction_14_and_2_thirds;fraction_15_and_1_ninth;fraction_15_and_1_third;fraction_15_and_2_thirds;fraction_16_and_1_ninth;fraction_16_and_1_third;fraction_16_and_2_thirds;fraction_17_and_1_ninth;fraction_17_and_1_third;fraction_17_and_2_thirds;fraction_18_and_1_ninth;fraction_18_and_1_third;fraction_18_and_2_thirds;fraction_19_and_1_ninth;fraction_19_and_1_third;fraction_19_and_2_thirds;fraction_20_and_1_ninth;fraction_20_and_1_third;fraction_20_and_2_thirds;fraction_21_and_1_ninth;fraction_21_and_1_third;fraction_21_and_2_thirds;fraction_22_and_1_ninth;fraction_22_and_1_third;fraction_22_and_2_thirds;fraction_23_and_1_ninth;fraction_23_and_1_third;fraction_23_and_2_thirds;fraction_24_and_1_ninth;fraction_24_and_1_third;fraction_24_and_2_thirds;fraction_25_and_1_ninth;fraction_25_and_1_third;fraction_25_and_2_thirds;fraction_26_and_1_ninth;fraction_26_and_1_third;fraction_26_and_2_thirds;fraction_27_and_1_ninth;fraction_27_and_1_third;fraction_27_and_2_thirds;fraction_28_and_1_ninth;fraction_28_and_1_third;fraction_28_and_2_thirds;fraction_29_and_1_ninth;fraction_29_and_1_third;fraction_29_and_2_thirds;fraction_30_and_1_ninth;fraction_30_and_1_third;fraction_30_and_2_thirds;fraction_31_and_1_ninth;fraction_31_and_1_third;fraction_31_and_2_thirds;fraction_32_and_1_ninth;fraction_32_and_1_third;fraction_32_and_2_thirds;fraction_33_and_1_ninth;fraction_33_and_1_third;fraction_33_and_2_thirds;fraction_34_and_1_ninth;fraction_34_and_1_third;fraction_34_and_2_thirds;fraction_35_and_1_ninth;fraction_35_and_1_third;fraction_35_and_2_thirds;fraction_36_and_1_ninth;fraction_36_and_1_third;fraction_36_and_2_thirds;fraction_37_and_1_ninth;fraction_37_and_1_third;fraction_37_and_2_thirds;fraction_38_and_1_ninth;fraction_38_and_1_third;fraction_38_and_2_thirds;fraction_39_and_1_ninth;fraction_39_and_1_third;fraction_39_and_2_thirds;fraction_40_and_1_ninth;fraction_40_and_1_third;fraction_40_and_2_thirds;fraction_41_and_1_ninth;fraction_41_and_1_third;fraction_41_and_2_thirds;fraction_42_and_1_ninth;fraction_42_and_1_third;fraction_42_and_2_thirds;fraction_43_and_1_ninth;fraction_43_and_1_third;fraction_43_and_2_thirds;fraction_44_and_1_ninth;fraction_44_and_1_third;fraction_44_and_2_thirds;fraction_45_and_1_ninth;fraction_45_and_1_third;fraction_45_and_2_thirds;fraction_46_and_1_ninth;fraction_46_and_1_third;fraction_46_and_2_thirds;fraction_47_and_1_ninth;fraction_47_and_1_third;fraction_47_and_2_thirds;fraction_48_and_1_ninth;fraction_48_and_1_third;fraction_48_and_2_thirds;fraction_49_and_1_ninth;fraction_49_and_1_third;fraction_49_and_2_thirds;fraction_50_and_1_ninth;fraction_50_and_1_third;fraction_50_and_2_thirds;fraction_51_and_1_ninth;fraction_51_and_1_third;fraction_51_and_2_thirds;fraction_52_and_1_ninth;fraction_52_and_1_third;fraction_52_and_2_thirds;fraction_53_and_1_ninth;fraction_53_and_1_third;fraction_53_and_2_thirds;fraction_54_and_1_ninth;fraction_54_and_1_third;fraction_54_and_2_thirds;fraction_55_and_1_ninth;fraction_55_and_1_third;fraction_55_and_2_thirds;fraction_56_and_1_ninth;fraction_56_and_1_third;fraction_56_and_2_thirds;fraction_57_and_1_ninth;fraction_57_and_1_third;fraction_57_and_2_thirds;fraction_58_and_1_ninth;fraction_58_and_1_third;fraction_58_and_2_thirds;fraction_59_and_1_ninth;fraction_59_and_1_third;fraction_59_and_2_thirds;0_months;12_months;15_months;18_months;2_point_5_years;2_years;21_months;24_months;3_months;3_point_5_years;3_years;4_point_5_years;4_years;5_years;6_months;9_months;large;ll;measurement_10_point_0_centimeters;measurement_10_point_5_centimeters;measurement_11_point_0_centimeters;measurement_11_point_5_centimeters;measurement_12_point_0_centimeters;measurement_12_point_5_centimeters;measurement_13_point_0_centimeters;measurement_13_point_5_centimeters;measurement_14_point_0_centimeters;measurement_14_point_5_centimeters;measurement_15_point_0_centimeters;measurement_15_point_5_centimeters;measurement_16_point_0_centimeters;measurement_16_point_5_centimeters;measurement_17_point_0_centimeters;measurement_17_point_5_centimeters;measurement_18_point_0_centimeters;measurement_18_point_5_centimeters;measurement_19_point_0_centimeters;measurement_19_point_5_centimeters;measurement_20_point_0_centimeters;measurement_20_point_5_centimeters;measurement_21_point_0_centimeters;measurement_21_point_5_centimeters;measurement_22_point_0_centimeters;measurement_22_point_5_centimeters;measurement_23_point_0_centimeters;measurement_23_point_5_centimeters;measurement_24_point_0_centimeters;measurement_24_point_5_centimeters;measurement_25_point_0_centimeters;measurement_25_point_5_centimeters;measurement_26_point_0_centimeters;measurement_26_point_5_centimeters;measurement_27_point_0_centimeters;measurement_27_point_5_centimeters;measurement_28_point_0_centimeters;measurement_28_point_5_centimeters;measurement_29_point_0_centimeters;measurement_29_point_5_centimeters;measurement_30_point_0_centimeters;measurement_30_point_5_centimeters;measurement_31_point_0_centimeters;measurement_31_point_5_centimeters;measurement_32_point_0_centimeters;measurement_32_point_5_centimeters;measurement_33_point_0_centimeters;measurement_33_point_5_centimeters;measurement_34_point_0_centimeters;measurement_34_point_5_centimeters;measurement_35_point_0_centimeters;measurement_35_point_5_centimeters;measurement_36_point_0_centimeters;measurement_36_point_5_centimeters;measurement_37_point_0_centimeters;measurement_37_point_5_centimeters;measurement_38_point_0_centimeters;measurement_38_point_5_centimeters;measurement_39_point_0_centimeters;measurement_39_point_5_centimeters;measurement_40_point_0_centimeters;medium;numeric_0;numeric_0_point_5;numeric_1;numeric_1_point_5;numeric_10;numeric_10_point_5;numeric_11;numeric_11_point_5;numeric_12;numeric_12_point_5;numeric_13;numeric_13_point_5;numeric_14;numeric_14_point_5;numeric_15;numeric_15_point_5;numeric_16;numeric_16_point_5;numeric_17;numeric_17_point_5;numeric_18;numeric_18_point_5;numeric_19;numeric_19_point_5;numeric_2;numeric_2_point_5;numeric_20;numeric_20_point_5;numeric_21;numeric_21_point_5;numeric_22;numeric_22_point_5;numeric_23;numeric_23_point_5;numeric_24;numeric_24_point_5;numeric_25;numeric_25_point_5;numeric_26;numeric_26_point_5;numeric_27;numeric_27_point_5;numeric_28;numeric_28_point_5;numeric_29;numeric_29_point_5;numeric_3;numeric_3_point_5;numeric_30;numeric_30_point_5;numeric_31;numeric_31_point_5;numeric_32;numeric_32_point_5;numeric_33;numeric_33_point_5;numeric_34;numeric_34_point_5;numeric_35;numeric_35_point_5;numeric_36;numeric_36_point_5;numeric_37;numeric_37_point_5;numeric_38;numeric_38_point_5;numeric_39;numeric_39_point_5;numeric_4;numeric_4_point_5;numeric_40;numeric_40_point_5;numeric_41;numeric_41_point_5;numeric_42;numeric_42_point_5;numeric_43;numeric_43_point_5;numeric_44;numeric_44_point_5;numeric_45;numeric_45_point_5;numeric_46;numeric_46_point_5;numeric_47;numeric_47_point_5;numeric_48;numeric_48_point_5;numeric_49;numeric_49_point_5;numeric_5;numeric_5_point_5;numeric_50;numeric_50_point_5;numeric_51;numeric_51_point_5;numeric_52;numeric_52_point_5;numeric_53;numeric_53_point_5;numeric_54;numeric_54_point_5;numeric_55;numeric_55_point_5;numeric_56;numeric_56_point_5;numeric_57;numeric_57_point_5;numeric_58;numeric_58_point_5;numeric_59;numeric_59_point_5;numeric_6;numeric_6_point_5;numeric_60;numeric_7;numeric_7_point_5;numeric_8;numeric_8_point_5;numeric_9;numeric_9_point_5;one_size;small;ss;x_l;x_s;xx_l;xx_s;xxx_l;xxx_s"
